DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
10-FEB-2026,FUTSTK,ADANIENT,26-FEB-2026,2233.75
10-FEB-2026,FUTSTK,ADANIENT,25-MAR-2026,2242.85
10-FEB-2026,FUTSTK,ADANIENT,30-MAR-2026,2231.70
10-FEB-2026,FUTSTK,ADANIENT,28-APR-2026,2236.60
10-FEB-2026,FUTSTK,ADANIENT,30-APR-2026,2255.05
10-FEB-2026,FUTSTK,ADANIGREEN,24-FEB-2026,981.20
10-FEB-2026,FUTSTK,ADANIGREEN,26-FEB-2026,980.70
10-FEB-2026,FUTSTK,ADANIGREEN,25-MAR-2026,984.70
10-FEB-2026,FUTSTK,ADANIGREEN,30-MAR-2026,986.25
10-FEB-2026,FUTSTK,ADANIGREEN,28-APR-2026,993.35
10-FEB-2026,FUTSTK,ADANIGREEN,30-APR-2026,990.05
10-FEB-2026,FUTSTK,ADANIPORTS,24-FEB-2026,1559.40
10-FEB-2026,FUTSTK,ADANIPORTS,26-FEB-2026,1558.45
10-FEB-2026,FUTSTK,ADANIPORTS,25-MAR-2026,1564.80
10-FEB-2026,FUTSTK,ADANIPORTS,30-MAR-2026,1569.20
10-FEB-2026,FUTSTK,ADANIPORTS,28-APR-2026,1579.70
10-FEB-2026,FUTSTK,ADANIPORTS,30-APR-2026,1573.30
10-FEB-2026,FUTSTK,ALKEM,24-FEB-2026,5771.50
10-FEB-2026,FUTSTK,ALKEM,26-FEB-2026,5825.55
10-FEB-2026,FUTSTK,ALKEM,25-MAR-2026,5849.25
10-FEB-2026,FUTSTK,ALKEM,30-MAR-2026,5790.50
10-FEB-2026,FUTSTK,ALKEM,28-APR-2026,5879.50
10-FEB-2026,FUTSTK,ALKEM,30-APR-2026,5881.10
10-FEB-2026,FUTSTK,AMBER,24-FEB-2026,7453.00
10-FEB-2026,FUTSTK,AMBER,26-FEB-2026,7528.65
10-FEB-2026,FUTSTK,AMBER,25-MAR-2026,7559.30
10-FEB-2026,FUTSTK,AMBER,30-MAR-2026,7345.50
10-FEB-2026,FUTSTK,AMBER,28-APR-2026,7598.00
10-FEB-2026,FUTSTK,AMBER,30-APR-2026,7600.45
10-FEB-2026,FUTSTK,AMBUJACEM,24-FEB-2026,539.90
10-FEB-2026,FUTSTK,AMBUJACEM,26-FEB-2026,539.80
10-FEB-2026,FUTSTK,AMBUJACEM,25-MAR-2026,542.00
10-FEB-2026,FUTSTK,AMBUJACEM,30-MAR-2026,542.10
10-FEB-2026,FUTSTK,AMBUJACEM,28-APR-2026,542.40
10-FEB-2026,FUTSTK,AMBUJACEM,30-APR-2026,544.95
10-FEB-2026,FUTSTK,ANGELONE,24-FEB-2026,2792.50
10-FEB-2026,FUTSTK,ANGELONE,26-FEB-2026,2789.70
10-FEB-2026,FUTSTK,ANGELONE,25-MAR-2026,2801.10
10-FEB-2026,FUTSTK,ANGELONE,30-MAR-2026,2785.40
10-FEB-2026,FUTSTK,ANGELONE,28-APR-2026,2781.30
10-FEB-2026,FUTSTK,ANGELONE,30-APR-2026,2816.35
10-FEB-2026,FUTSTK,APLAPOLLO,24-FEB-2026,2239.70
10-FEB-2026,FUTSTK,APLAPOLLO,26-FEB-2026,2244.10
10-FEB-2026,FUTSTK,APLAPOLLO,25-MAR-2026,2253.25
10-FEB-2026,FUTSTK,APLAPOLLO,30-MAR-2026,2251.40
10-FEB-2026,FUTSTK,APLAPOLLO,28-APR-2026,2259.00
10-FEB-2026,FUTSTK,APLAPOLLO,30-APR-2026,2265.50
10-FEB-2026,FUTSTK,APOLLOHOSP,24-FEB-2026,7213.50
10-FEB-2026,FUTSTK,APOLLOHOSP,26-FEB-2026,7236.50
10-FEB-2026,FUTSTK,APOLLOHOSP,25-MAR-2026,7265.95
10-FEB-2026,FUTSTK,APOLLOHOSP,30-MAR-2026,7259.50
10-FEB-2026,FUTSTK,APOLLOHOSP,28-APR-2026,7292.50
10-FEB-2026,FUTSTK,APOLLOHOSP,30-APR-2026,7305.50
